date,deaths
2020-07-13,8
2020-07-12,6
2020-07-11,20
2020-07-10,19
2020-07-09,36
2020-07-08,29
2020-07-07,43
2020-07-06,47
2020-07-05,34
2020-07-04,49
2020-07-03,42
2020-07-02,50
2020-07-01,49
2020-06-30,55
2020-06-29,41
2020-06-28,36
2020-06-27,40
2020-06-26,39
2020-06-25,53
2020-06-24,28
2020-06-23,42
2020-06-22,19
2020-06-21,30
2020-06-20,30
2020-06-19,38
2020-06-18,24
2020-06-17,24
2020-06-16,31
2020-06-15,34
2020-06-14,31
2020-06-13,31
2020-06-12,32
2020-06-11,24
2020-06-10,22
2020-06-09,25
2020-06-08,23
2020-06-07,27
2020-06-06,25
2020-06-05,19
2020-06-04,13
2020-06-03,26
2020-06-02,22
2020-06-01,11
2020-05-31,23
2020-05-30,14
2020-05-29,18
2020-05-28,26
2020-05-27,19
2020-05-26,20
2020-05-25,18
2020-05-24,15
2020-05-23,22
2020-05-22,19
2020-05-21,15
2020-05-20,12
2020-05-19,17
2020-05-18,11
2020-05-17,20
2020-05-16,21
2020-05-15,22
2020-05-14,20
2020-05-13,23
2020-05-12,15
2020-05-11,13
2020-05-10,21
2020-05-09,10
2020-05-08,24
2020-05-07,28
2020-05-06,20
2020-05-05,22
2020-05-04,19
2020-05-03,22
2020-05-02,13
2020-05-01,16
2020-04-30,27
2020-04-29,19
2020-04-28,14
2020-04-27,21
2020-04-26,14
2020-04-25,14
2020-04-24,12
2020-04-23,24
2020-04-22,12
2020-04-21,10
2020-04-20,23
2020-04-19,22
2020-04-18,15
2020-04-17,15
2020-04-16,17
2020-04-15,14
2020-04-14,17
2020-04-13,14
2020-04-12,18
2020-04-11,21
2020-04-10,16
2020-04-09,12
2020-04-08,10
2020-04-07,15
2020-04-06,12
2020-04-05,11
2020-04-04,6
2020-04-03,11
2020-04-02,6
2020-04-01,10
2020-03-31,13
2020-03-30,7
2020-03-29,6
2020-03-28,6
2020-03-27,7
2020-03-26,7
2020-03-25,4
2020-03-24,2
2020-03-23,5
2020-03-22,1
2020-03-20,2
2020-03-19,2
2020-03-17,1
