date,hospitalizations
2020-07-25,2
2020-07-24,13
2020-07-23,33
2020-07-22,30
2020-07-21,37
2020-07-20,46
2020-07-19,46
2020-07-18,45
2020-07-17,42
2020-07-16,47
2020-07-15,46
2020-07-14,56
2020-07-13,85
2020-07-12,58
2020-07-11,60
2020-07-10,82
2020-07-09,68
2020-07-08,69
2020-07-07,89
2020-07-06,89
2020-07-05,65
2020-07-04,66
2020-07-03,82
2020-07-02,98
2020-07-01,119
2020-06-30,120
2020-06-29,133
2020-06-28,86
2020-06-27,97
2020-06-26,110
2020-06-25,97
2020-06-24,109
2020-06-23,108
2020-06-22,125
2020-06-21,107
2020-06-20,79
2020-06-19,115
2020-06-18,91
2020-06-17,81
2020-06-16,94
2020-06-15,120
2020-06-14,82
2020-06-13,88
2020-06-12,84
2020-06-11,80
2020-06-10,79
2020-06-09,94
2020-06-08,103
2020-06-07,81
2020-06-06,75
2020-06-05,80
2020-06-04,60
2020-06-03,77
2020-06-02,80
2020-06-01,74
2020-05-31,51
2020-05-30,56
2020-05-29,61
2020-05-28,56
2020-05-27,52
2020-05-26,47
2020-05-25,51
2020-05-24,43
2020-05-23,41
2020-05-22,58
2020-05-21,49
2020-05-20,40
2020-05-19,42
2020-05-18,57
2020-05-17,30
2020-05-16,38
2020-05-15,44
2020-05-14,52
2020-05-13,39
2020-05-12,43
2020-05-11,42
2020-05-10,35
2020-05-09,37
2020-05-08,57
2020-05-07,48
2020-05-06,53
2020-05-05,57
2020-05-04,47
2020-05-03,55
2020-05-02,47
2020-05-01,49
2020-04-30,53
2020-04-29,60
2020-04-28,51
2020-04-27,57
2020-04-26,44
2020-04-25,46
2020-04-24,54
2020-04-23,44
2020-04-22,44
2020-04-21,30
2020-04-20,67
2020-04-19,47
2020-04-18,51
2020-04-17,31
2020-04-16,44
2020-04-15,43
2020-04-14,50
2020-04-13,48
2020-04-12,38
2020-04-11,42
2020-04-10,46
2020-04-09,44
2020-04-08,54
2020-04-07,34
2020-04-06,59
2020-04-05,49
2020-04-04,44
2020-04-03,51
2020-04-02,34
2020-04-01,48
2020-03-31,55
2020-03-30,52
2020-03-29,41
2020-03-28,43
2020-03-27,40
2020-03-26,39
2020-03-25,45
2020-03-24,30
2020-03-23,45
2020-03-22,17
2020-03-21,20
2020-03-20,22
2020-03-19,18
2020-03-18,12
2020-03-17,13
2020-03-16,6
2020-03-15,10
2020-03-14,4
2020-03-13,6
2020-03-12,5
2020-03-11,3
2020-03-09,3
2020-03-08,1
2020-03-06,1
2020-03-05,1
2020-03-04,1
2020-03-03,1
2020-02-28,1
2020-02-21,1
2020-01-04,1
